Year,China,France,Germany,India,Italy,Japan,Korea,Russia,UnitedKingdom,UnitedStatesofAmerica
1870,189,1138,991,,302,47,,407,2515,868
1871,217,1217,1028,,368,39,,445,2770,1009
1872,229,1386,1065,,412,54,,495,3055,1106
1873,211,1617,1102,,467,54,,590,2395,969
1874,204,1391,1139,,442,42,,638,3050,1195
1875,207,1789,1176,,386,48,,641,2210,1078
1876,219,1460,1213,,491,50,,587,2880,1034
1877,207,1371,1250,,407,49,,606,2965,1098
1878,204,1420,1287,,408,57,,853,2810,1173
1879,212,1511,1324,,457,62,,866,2775,1191
1880,220,1641,1360,,455,66,,693,2939,1504
1881,225,1626,1414,,487,62,,645,3155,1573
1882,203,1620,1504,,483,67,,731,3270,1501
1883,196,1593,1556,,498,64,,729,3335,1575
1884,190,1462,1539,,471,63,,669,3115,1450
1885,198,1385,1382,,523,65,,558,3123,1304
1886,202,1437,1383,,472,80,,430,2815,1363
1887,227,1380,1456,,485,95,0,452,2920,1451
1888,249,1406,1524,,382,130,4,480,3115,1463
1889,242,1537,1690,,439,135,4,586,3385,1542
1890,274,1560,1786,,411,135,5,574,3425,1635
1891,282,1585,1704,,370,140,4,593,3410,1770
1892,254,1463,1635,,393,155,4,404,3255,1910
1893,257,1371,1672,,396,171,3,478,3115,1778
1894,263,1335,1628,,357,222,4,621,3120,1610
1895,252,1312,1826,,403,223,11,633,2385,1643
1896,270,1393,1852,,392,236,6,647,3410,1753
1897,264,1450,1952,,413,315,9,652,3425,1909
1898,258,1523,2064,,490,365,9,682,3520,1933
1899,336,1658,2256,,516,366,7,644,3700,2011
1900,276,1659,2498,,587,253,10,773,3055,2284
1901,319,1597,2297,,597,253,11,678,4010,2411
1902,334,1653,2426,,615,271,11,737,4055,2363
1903,346,1725,2586,,636,314,13,846,4170,2514
1904,385,1718,2737,,664,357,8,837,4260,2529
1905,496,2395,3069,,731,413,10,810,3268,2970
1906,517,2119,3432,,851,447,,962,4920,3081
1907,638,2291,3704,,930,494,,950,5360,3396
1908,436,2088,3348,,894,437,,970,4850,3147
1909,477,2323,3599,,959,432,,1185,5015,3045
1910,568,2438,4239,,1025,459,,1196,4413,3577
1911,552,2730,4225,,1077,476,,1405,5670,3687
1912,624,2896,4676,,1174,648,,1387,6160,3969
1913,728,2951,4973,,1189,678,,1474,5922,4277
1914,609,2212,0,,1027,671,,1064,5640,4344
1915,566,2689,0,,1447,715,,1031,6185,4523
1916,792,4562,0,,2186,1073,,990,6929,7978
1917,1092,5824,0,,3295,1513,,0,7576,9323
1918,1301,4813,0,,3159,2149,,0,8652,9507
1919,1971,6523,0,,3492,2503,,6,10735,12152
1920,1895,5407,1819,,1918,2167,,20,13818,13506
1921,1146,3171,2074,,1084,1663,,95,6474,7109
1922,1328,3744,2972,,1191,1960,,165,7359,7079
1923,1341,3875,2917,,1301,1980,,171,8310,8105
1924,1450,4323,3732,,1472,2089,,271,8426,8385
1925,1448,4262,5046,,1771,2367,,659,9517,9301
1926,1511,3855,4858,,1733,2515,,739,8596,9402
1927,1333,4246,5948,,1858,2415,,765,8770,9181
1928,1553,4146,6270,,1963,2393,,789,8754,9374
1929,1460,4243,6412,,1941,2474,,925,8936,9787
1930,1107,3736,5344,,1550,1495,,1082,7433,6904
1931,797,2848,3858,,1139,1544,,990,5388,4570
1932,524,1945,2471,,773,1050,,598,3503,2967
1933,509,2360,2769,,895,1235,,387,3428,3204
1934,537,2690,3393,,1105,1709,,455,5663,3907
1935,543,2407,3386,,1078,1408,,536,5499,4330
1936,491,2501,3620,,828,2094,,537,6103,5073
1937,531,2684,4575,,1282,2580,,606,7286,6537
1938,422,2206,4384,,1133,1628,,552,6438,5054
1939,2361,1932,4351,,1098,2423,,54,6295,5595
1940,3997,1445,3953,,1247,2359,,0,6638,6709
1941,0,929,698,,1317,1962,,0,6358,8545
1942,1636,1269,6553,,6188,1494,,0,5317,10878
1943,3549,,6793,,0,1399,,0,6154,16405
1944,0,788,5482,,0,1244,,0,6646,18338
1945,0,1526,0,,0,0,,106,6483,14083
1946,159,8176,,,1554,,,1423,9233,14775
1947,667,13849,,2624,2223,,,8454,12250,21193
1948,244,4980,,3322,2570,,,2532,14470,20180
1949,310,5370,,3089,2610,,145,2936,14780,19080
1950,1130,5480,,2196,2630,,77,3250,13100,19360
1951,1960,7520,,3303,3680,,87,4282,17610,26320
1952,1940,7140,,2893,3630,3140,242,5296,16590,26170
1953,2370,6820,,2233,3850,3540,385,5717,16250,26790
1954,2440,7400,,2373,4000,3870,267,6405,16220,25360
1955,3140,8730,,2601,4480,4260,357,6487,18140,27260
1956,3210,9340,,2854,5220,5470,409,7228,18940,32210
1957,3110,10400,,3377,6090,6800,462,8319,19940,34470
1958,3870,9950,,2984,5700,5630,389,8649,19530,32330
