StateAbb,CCode,StateNme,latitude,longitude
USA,2,United States of America,37.0902,-95.7129
CAN,20,Canada,61.0666922,-107.9917071
BHM,31,Bahamas,24.7736546,-78.0000547
CUB,40,Cuba,23.0131338,-80.8328748
CUB,40,Cuba,23.0131338,-80.8328748
HAI,41,Haiti,19.1399952,-72.3570972
HAI,41,Haiti,19.1399952,-72.3570972
DOM,42,Dominican Republic,19.0974031,-70.3028026
DOM,42,Dominican Republic,19.0974031,-70.3028026
JAM,51,Jamaica,18.1850507,-77.3947693
TRI,52,Trinidad and Tobago,10.8677845,-60.9821067
BAR,53,Barbados,13.1500331,-59.5250305
DMA,54,Dominica,15.4113138,-61.3653618
GRN,55,Grenada,12.1360374,-61.6904045
SLU,56,St. Lucia,13.8250489,-60.975036
SVG,57,St. Vincent and the Grenadines,12.90447,-61.2765569
AAB,58,Antigua & Barbuda,17.079128,-61.8222516
SKN,60,St. Kitts and Nevis,17.3462278,-62.7687277
MEX,70,Mexico,19.4326009,-99.1333416
BLZ,80,Belize,16.8259793,-88.7600927
GUA,90,Guatemala,15.6356088,-89.8988087
HON,91,Honduras,15.2572432,-86.0755145
SAL,92,El Salvador,13.8000382,-88.9140683
NIC,93,Nicaragua,12.3724928,-84.8700308
COS,94,Costa Rica,10.2735633,-84.0739102
PAN,95,Panama,8.3096067,-81.3066246
COL,100,Colombia,2.8894434,-73.783892
VEN,101,Venezuela,8.0018709,-66.1109318
GUY,110,Guyana,4.8417097,-58.6416891
SUR,115,Suriname,4.1413025,-56.0771187
ECU,130,Ecuador,-1.3397668,-79.3666965
PER,135,Peru,-6.8699697,-75.0458515
BRA,140,Brazil,-10.3333333,-53.2
BOL,145,Bolivia,-17.0568696,-64.9912286
PAR,150,Paraguay,-23.3165935,-58.1693445
PAR,150,Paraguay,-23.3165935,-58.1693445
CHL,155,Chile,-31.7613365,-71.3187697
ARG,160,Argentina,-34.9964963,-64.9672817
URU,165,Uruguay,-32.8755548,-56.0201525
UKG,200,United Kingdom,54.7023545,-3.2765753
IRE,205,Ireland,52.865196,-7.9794599
NTH,210,Netherlands,52.2379891,5.534607382
NTH,210,Netherlands,52.2379891,5.534607382
BEL,211,Belgium,50.6402809,4.6667145
BEL,211,Belgium,50.6402809,4.6667145
LUX,212,Luxembourg,49.8158683,6.1296751
LUX,212,Luxembourg,49.8158683,6.1296751
FRN,220,France,46.603354,1.8883335
FRN,220,France,46.603354,1.8883335
MNC,221,Monaco,43.7311424,7.4197576
LIE,223,Liechtenstein,47.1416307,9.5531527
SWZ,225,Switzerland,46.7985624,8.2319736
SPN,230,Spain,39.3262345,-4.8380649
AND,232,Andorra,42.5407167,1.5732033
POR,235,Portugal,40.033265,-7.8896263
HAN,240,Hanover,52.3744779,9.7385532
BAV,245,Bavaria,48.9467562,11.4038717
GMY,255,Germany,51.0834196,10.4234469
GMY,255,Germany,51.0834196,10.4234469
GFR,260,German Federal Republic,50.7374,7.0982
GDR,265,German Democratic Republic,52.303479,13.222219
BAD,267,Baden,47.4736827,8.3086822
SAX,269,Saxony,50.9295798,13.4585052
WRT,271,Wuerttemburg,48.6616,9.3501
HSE,273,Hesse Electoral,51.312801,9.481544
HSG,275,Hesse Grand Ducal,51.312801,9.481544
MEC,280,Mecklenburg Schwerin,53.6288297,11.4148038
POL,290,Poland,52.0977181,19.0258159
POL,290,Poland,52.0977181,19.0258159
AUH,300,Austria-Hungary,46.35038755,19.13865633
AUS,305,Austria,47.2000338,13.199959
AUS,305,Austria,47.2000338,13.199959
HUN,310,Hungary,47.1817585,19.5060937
CZE,315,Czechoslovakia,50.083333,14.4666648
CZE,315,Czechoslovakia,50.083333,14.4666648
CZR,316,Czech Republic,49.8167003,15.4749544
SLO,317,Slovakia,48.7411522,19.4528646
ITA,325,Italy,42.6384261,12.674297
PAP,327,Papal States,41.901134,12.453314
SIC,329,Two Sicilies,37.4922295,15.0704098
SNM,331,San Marino,43.9458623,12.458306
MOD,332,Modena,44.6458885,10.9255707
PMA,335,Parma,44.8013678,10.3280833
TUS,337,Tuscany,43.4586541,11.1389204
MLT,338,Malta,35.8885993,14.4476911
ALB,339,Albania,41.000028,19.9999619
ALB,339,Albania,41.000028,19.9999619
MNG,341,Montenegro,42.7728491,19.2408586
MAC,343,Macedonia,41.6171214,21.7168387
CRO,344,Croatia,45.5643442,17.0118954
YUG,345,Yugoslavia,8.1939477,-64.5043374
YUG,345,Yugoslavia,8.1939477,-64.5043374
BOS,346,Bosnia and Herzegovina,44.3053476,17.5961467
KOS,347,Kosovo,42.5869578,20.9021231
SLV,349,Slovenia,45.8133113,14.4808369
GRC,350,Greece,38.9953683,21.9877132
GRC,350,Greece,38.9953683,21.9877132
CYP,352,Cyprus,34.9823018,33.1451285
BUL,355,Bulgaria,42.6073975,25.4856617
MLD,359,Moldova,47.286747,28.5110236
ROM,360,Romania,45.9852129,24.6859225
RUS,365,Russia,64.6863136,97.7453061
EST,366,Estonia,58.7523778,25.3319078
EST,366,Estonia,58.7523778,25.3319078
LAT,367,Latvia,56.8406494,24.7537645
LAT,367,Latvia,56.8406494,24.7537645
LIT,368,Lithuania,55.3500003,23.7499997
LIT,368,Lithuania,55.3500003,23.7499997
UKR,369,Ukraine,49.4871968,31.2718321
BLR,370,Belarus,53.4250605,27.6971358
ARM,371,Armenia,40.7696272,44.6736646
GRG,372,Georgia,42.3154,43.3569
AZE,373,Azerbaijan,40.3936294,47.7872508
FIN,375,Finland,63.2467777,25.9209164
SWD,380,Sweden,59.6749712,14.5208584
NOR,385,Norway,64.5731537,11.52803644
NOR,385,Norway,64.5731537,11.52803644
DEN,390,Denmark,55.670249,10.3333283
DEN,390,Denmark,55.670249,10.3333283
ICE,395,Iceland,64.9841821,-18.1059013
CAP,402,Cape Verde,16.0000552,-24.0083947
STP,403,Sao Tome and Principe,0.8875498,6.9648718
GNB,404,Guinea-Bissau,12.100035,-14.9000214
EQG,411,Equatorial Guinea,1.613172,10.5170357
GAM,420,Gambia,13.470062,-15.4900464
MLI,432,Mali,16.3700359,-2.2900239
SEN,433,Senegal,14.4750607,-14.4529612
BEN,434,Benin,9.5293472,2.2584408
MAA,435,Mauritania,14.4750607,-14.4529612
NIR,436,Niger,17.7356214,9.3238432
CDI,437,Ivory Coast,7.9897371,-5.5679458
GUI,438,Guinea,10.7226226,-10.7083587
BFO,439,Burkina Faso,12.0753083,-1.6880314
LBR,450,Liberia,5.7499721,-9.3658524
SIE,451,Sierra Leone,8.6400349,-11.8400269
GHA,452,Ghana,8.0300284,-1.0800271
TOG,461,Togo,8.7800265,1.0199765
CAO,471,Cameroon,4.6125522,13.1535811
NIG,475,Nigeria,9.6000359,7.9999721
GAB,481,Gabon,-0.8999695,11.6899699
CEN,482,Central African Republic,25.2183959,55.17523858
CHA,483,Chad,15.6134137,19.0156172
CON,484,Congo,-0.7264327,15.6419155
DRC,490,Democratic Republic of the Congo,-2.9814344,23.8222636
UGA,500,Uganda,1.5333554,32.2166578
KEN,501,Kenya,1.4419683,38.4313975
TAZ,510,Tanzania,-6.5247123,35.7878438
ZAN,511,Zanzibar,-6.0988563,39.3204591
BUI,516,Burundi,-3.3634357,29.8870575
RWA,517,Rwanda,-1.9646631,30.0644358
SOM,520,Somalia,8.3676771,49.083416
DJI,522,Djibouti,11.85677545,42.75778452
ETH,530,Ethiopia,10.2116702,38.6521203
ETH,530,Ethiopia,10.2116702,38.6521203
ERI,531,Eritrea,15.9500319,37.9999668
ANG,540,Angola,-11.8775768,17.5691241
MZM,541,Mozambique,-19.302233,34.9144977
ZAM,551,Zambia,-14.5186239,27.5599164
ZIM,552,Zimbabwe,-18.4554963,29.7468414
MAW,553,Malawi,-13.2687204,33.9301963
SAF,560,South Africa,-28.8166236,24.991639
NAM,565,Namibia,-23.2335499,17.3231107
LES,570,Lesotho,-29.6232,28.2335
BOT,571,Botswana,-23.1681782,24.5928742
SWA,572,Swaziland,-26.5624806,31.3991317
MAG,580,Madagascar,-18.9249604,46.4416422
COM,581,Comoros,-12.2045176,44.2832964
MAS,590,Mauritius,-20.2759451,57.5703566
SEY,591,Seychelles,-4.6574977,55.4540146
MOR,600,Morocco,31.1728205,-7.3362482
MOR,600,Morocco,31.1728205,-7.3362482
ALG,615,Algeria,28.0000272,2.9999825
TUN,616,Tunisia,33.8439408,9.400138
TUN,616,Tunisia,33.8439408,9.400138
LIB,620,Libya,26.8234472,18.1236723
SUD,625,Sudan,14.5844444,29.4917691
SSD,626,South Sudan,7.8699431,29.6667897
IRN,630,Iran,32.9407495,52.9471344
TUR,640,Turkey,38.9597594,34.9249653
IRQ,645,Iraq,33.0955793,44.1749775
EGY,651,Egypt,26.2540493,29.2675469
EGY,651,Egypt,26.2540493,29.2675469
SYR,652,Syria,34.6401861,39.0494106
SYR,652,Syria,34.6401861,39.0494106
LEB,660,Lebanon,33.8750629,35.843409
JOR,663,Jordan,31.1667049,36.941628
ISR,666,Israel,30.8760272,35.0015196
SAU,670,Saudi Arabia,25.6242618,42.3528328
YAR,678,Yemen Arab Republic,16.3471243,47.8915271
YEM,679,Yemen,16.3471243,47.8915271
YPR,680,Yemen People's Republic,16.3471243,47.8915271
KUW,690,Kuwait,29.2733964,47.4979476
BAH,692,Bahrain,26.1551249,50.5344606
QAT,694,Qatar,25.3336984,51.2295295
UAE,696,United Arab Emirates,24.0002488,53.9994829
OMA,698,Oman,21.0000287,57.0036901
AFG,700,Afghanistan,33.7680065,66.2385139
TKM,701,Turkmenistan,39.3763807,59.3924609
TAJ,702,Tajikistan,38.6281733,70.8156541
KYR,703,Kyrgyzstan,41.5089324,74.724091
UZB,704,Uzbekistan,41.32373,63.9528098
KZK,705,Kazakhstan,47.2286086,65.2093197
CHN,710,China,35.000074,104.999927
MON,712,Mongolia,46.8250388,103.8499736
TAW,713,Taiwan,23.59829785,120.8353631
KOR,730,Korea,36.5581914,127.9408564
PRK,731,North Korea,40.3736611,127.0870417
ROK,732,South Korea,36.5581914,127.9408564
JPN,740,Japan,36.5748441,139.2394179
JPN,740,Japan,36.5748441,139.2394179
IND,750,India,22.3511148,78.6677428
BHU,760,Bhutan,27.549511,90.5119273
PAK,770,Pakistan,30.3308401,71.247499
BNG,771,Bangladesh,24.4768598,90.2932299
MYA,775,Myanmar,17.1750495,95.9999652
SRI,780,Sri Lanka,7.5554942,80.7137847
MAD,781,Maldives,4.7064352,73.3287853
NEP,790,Nepal,28.1083929,84.0917139
THI,800,Thailand,14.8971921,100.83273
CAM,811,Cambodia,13.5066394,104.869423
LAO,812,Laos,20.0171109,103.378253
DRV,816,Vietnam,13.2904027,108.4265113
RVN,817,Republic of Vietnam,21.0625056,105.8290694
MAL,820,Malaysia,2.3923759,112.8471939
SIN,830,Singapore,1.3408528,103.8784469
BRU,835,Brunei,4.4137155,114.5653908
PHI,840,Philippines,12.7503486,122.7312101
INS,850,Indonesia,-4.7993356,114.5632032
ETM,860,East Timor,-8.5151979,125.8375756
AUL,900,Australia,-24.7761086,134.755
PNG,910,Papua New Guinea,-5.6816069,144.2489081
NEW,920,New Zealand,-41.5000831,172.8344077
VAN,935,Vanuatu,-16.5255069,168.1069154
