year,SumTrade,CountTradeRela,numCountry
1870,1494,70,28
1871,1790,72,28
1872,1875,64,28
1873,2573,119,31
1874,2285,131,32
1875,1964,112,30
1876,2292,128,32
1877,2111,128,32
1878,2440,138,33
1879,2599,141,33
1880,2263,141,33
1881,2618,134,32
1882,2548,137,32
1883,2662,140,33
1884,2512,138,34
1885,2178,137,34
1886,2281,148,34
1887,2302,171,35
1888,2375,175,36
1889,2596,170,35
1890,2515,166,35
1891,2743,184,38
1892,2727,177,37
1893,2601,182,37
1894,2455,138,34
1895,2317,163,34
1896,2749,182,37
1897,2936,193,38
1898,3343,199,38
1899,3149,173,39
1900,3350,186,36
1901,3257,187,34
1902,3506,184,35
1903,3789,191,35
1904,3758,187,36
1905,4585,243,39
1906,4991,215,38
1907,5446,229,37
1908,5259,217,38
1909,4881,223,39
1910,5918,253,42
1911,6048,262,43
1912,6748,326,42
1913,7183,351,41
1914,310,9,9
1915,368,8,8
1916,428,7,8
1917,580,7,8
1918,600,5,7
1919,6610,354,50
1920,16369,674,57
1921,10480,842,58
1922,9593,924,58
1923,9713,927,58
1924,12057,983,59
1925,13817,933,59
1926,11587,955,60
1927,13769,1045,62
1928,13888,1057,62
1929,14015,1075,62
1930,9565,935,61
1931,7821,1068,62
1932,5140,1085,62
1933,5241,1093,63
1934,7259,1149,64
1935,7668,1092,63
1936,8064,1146,65
1937,10383,1191,65
1938,9623,1166,63
1939,3488,730,60
1940,2476,475,57
1941,2039,314,52
1942,3127,178,48
1943,1673,123,31
1944,3173,212,52
1945,2168,351,58
1946,6721,442,60
1947,9389,449,62
1948,24480,2173,70
1949,22435,2241,72
1950,20609,2323,74
1951,28430,2434,75
1952,29913,2550,77
1953,27314,2654,78
1954,28875,2760,80
1955,42735,3010,83
1956,48366,3242,85
1957,54450,3376,87
1958,45878,3347,88
1959,47120,3320,87
1960,46582,4760,106
1961,49688,5158,110
1962,53314,5648,116
1963,59062,5835,117
1964,67544,6106,120
1965,72259,6366,124
1966,79854,6751,128
1967,84867,6880,129
1968,93482,7169,132
1969,104860,7146,132
1970,123129,7300,133
1971,133302,7734,138
1972,154010,7780,138
1973,216787,7924,139
1974,314165,8066,141
1975,343913,8563,148
1976,372537,8642,150
1977,422940,8735,151
1978,486914,8852,153
1979,615693,8900,155
1980,780526,8975,155
1981,797933,9495,158
1982,740797,9533,159
1983,712343,9602,160
1984,730452,9724,161
1985,730695,9783,161
1986,753985,9849,161
1987,875970,10061,161
1988,1031522,10093,161
1989,1132776,10145,161
1990,1602561,10227,163
1991,1678579,10386,160
1992,1778570,11506,174
1993,1702897,12255,180
1994,1945904,12582,181
1995,2370307,12734,181
1996,2488147,12939,181
1997,2591100,13048,179
1998,2502229,13191,179
1999,2628767,13549,182
2000,2920668,14386,183
2001,2804755,14386,183
2002,2877109,14386,183
2003,3355230,14386,183
2004,4111678,14386,183
2005,4644897,14386,183
2006,5374266,14563,184
2007,6339222,14563,184
2008,7474102,14608,185
2009,5786056,14608,185
2010,6932309,14609,185
2011,8419245,14615,186
2012,8552075,14615,186
2013,8695168,14615,186
2014,8740705,14615,186
