year,SumTrade,CountTradeRela,numCountry,countryset
1870,1494,70,28,"{640, 2, 130, 390, 135, 140, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 220, 350, 225, 100, 101, 230, 740, 235, 365, 380, 255}"
1871,1790,72,28,"{640, 2, 130, 390, 135, 140, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 220, 350, 225, 100, 101, 230, 740, 235, 365, 380, 255}"
1872,1875,64,28,"{640, 2, 130, 325, 70, 135, 710, 200, 390, 140, 210, 211, 600, 155, 220, 350, 160, 225, 100, 101, 230, 740, 41, 235, 300, 365, 380, 255}"
1873,2573,119,31,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 616, 235, 365, 380, 255}"
1874,2285,131,32,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 616, 235, 365, 630, 380, 255}"
1875,1964,112,30,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 235, 365, 380, 255}"
1876,2292,128,32,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 616, 235, 365, 630, 380, 255}"
1877,2111,128,32,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 616, 235, 365, 630, 380, 255}"
1878,2440,138,33,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 360, 616, 235, 365, 630, 380, 255}"
1879,2599,141,33,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 360, 616, 235, 365, 630, 380, 255}"
1880,2263,141,33,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 360, 616, 235, 365, 630, 380, 255}"
1881,2618,134,32,"{640, 2, 130, 390, 140, 145, 155, 160, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 360, 616, 235, 365, 630, 380, 255}"
1882,2548,137,32,"{640, 2, 130, 390, 140, 145, 155, 160, 165, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 360, 235, 365, 630, 380, 255}"
1883,2662,140,33,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 165, 41, 300, 325, 70, 710, 200, 210, 211, 600, 90, 220, 350, 225, 100, 101, 230, 740, 360, 235, 365, 630, 380, 255}"
1884,2512,138,34,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 165, 41, 300, 325, 70, 710, 200, 210, 211, 600, 345, 90, 220, 350, 225, 100, 101, 230, 740, 360, 235, 365, 630, 380, 255}"
1885,2178,137,34,"{640, 2, 130, 390, 135, 140, 145, 155, 160, 165, 41, 300, 325, 70, 710, 200, 210, 211, 600, 345, 90, 220, 350, 225, 100, 101, 230, 740, 360, 235, 365, 630, 380, 255}"
1886,2281,148,34,"{640, 2, 130, 390, 135, 140, 145, 150, 155, 160, 165, 41, 300, 325, 70, 710, 200, 210, 211, 600, 345, 220, 350, 225, 100, 101, 230, 740, 360, 235, 365, 630, 380, 255}"
1887,2302,171,35,"{640, 2, 130, 390, 135, 140, 145, 150, 155, 160, 800, 165, 41, 300, 325, 70, 710, 200, 210, 211, 600, 345, 220, 350, 225, 100, 101, 230, 740, 360, 235, 365, 630, 380, 255}"
