War#,Name,
1,Franco-Spanish War of 1823,
4,First Russo-Turkish War of 1828-1829,
7,Mexican-American War of 1846-1847,
10,Austro-Sardinian War of 1848-1849,
13,First Schleswig-Holstein,
16,War of the Roman Republic of 1849,
19,La Plata War of 1851-1852,
22,Crimean War of 1853-1856,
25,Anglo-Persian War of 1856-1857,
28,War of Italian Unification of 1859,
31,First Spanish-Moroccan War of 1859-1860,
34,Italian-Roman War of 1860,
37,Neapolitan War of 1860-1861,
40,Franco-Mexican War of 1862-1867,
43,Ecuadorian-Columbian War of 1863,
46,Second Schleswig-Holstein War of 1864,
49,Lopez War of 1864-1870,
52,Naval War of 1865-1866,
55,Seven Weeks War of 1866,
58,Franco-Prussian War of 1870-1871,
60,First Central American War of 1876,
61,Second Russo-Turkish War of 1877-1878,
64,War of the Pacific of 1879-1883,
65,Conquest of Egypt of 1882,
67,Sino-French War of 1884-1885,
70,Second Central American War of 1885,
73,First Sino-Japanese War of 1894-1895,
76,Greco-Turkish War of 1897,
79,Spanish-American War of 1898,
82,Boxer Rebellion of 1900,
83,Sino-Russian War of 1900,
85,Russo-Japanese War of 1904-1905,
88,Third Central American War of 1906,
91,Fourth Central American War of 1907,
94,Second Spanish-Moroccan War of 1909-1910,
97,Italian-Turkish War of 1911-1912,
100,First Balkan War of 1912-1913,
103,Second Balkan War of 1913,
106,World War I of 1914-1918,
107,Estonian War of Liberation of 1918-1920,
108,Latvian War of Liberation of 1918-1920,
109,Russo-Polish War of 1919-1920,
112,Hungarian Adversaries of 1919,
115,Second Greco-Turkish War of 1919-1922,
116,Franco-Turkish War of 1919-1921,
117,Lithuanian-Polish War of 1920,
118,Manchurian War of 1929,
121,Second Sino-Japanese War of 1931-1933,
124,Chaco War of 1932-1935,
125,Saudi-Yemeni War of 1934,
127,Conquest of Ethiopia of 1935-1936,
130,Third Sino-Japanese War of 1937-1941,
133,Changkufeng War of 1938,
136,Nomonhan War of 1939,
139,World War II of 1939-1945,
142,Russo-Finnish War of 1939-1940,
145,Franco-Thai War of 1940-1941,
147,First Kashmir War of 1948-1949,
148,Arab-Israeli War of 1948-1949,
151,Korean War of 1950-1953,
153,Off-shore Islands War of 1954,
155,Sinai War of 1956,
156,Soviet Invasion of Hungary of 1956,
158,Ifni War of 1957-1959,
159,Taiwan Straits War of 1958,
160,War in Assam of 1962,
163,Vietnam War of 1965-1975,
166,Second Kashmir War of 1965,
169,Six Day War of 1967,
170,Second Laotian War Phase 2, 1968-1973
172,War of Attrition of 1969-1970,
175,Football War of 1969,
176,War of the Communist Coalition of 1970-1971,
178,War for Bangladesh of 1971,
181,Yom Kippur War of 1973,
184,Turco-Cypriot War of 1974,
186,War Over Angola of 1975-1976,
187,Second Ogaden War of phase 2, 1977-1979
189,Vietnamese-Cambodian Border War of 1975-1979,
190,Ugandan-Tanzanian War of 1978-1979,
193,Sino-Vietnamese Punitive War of 1979,
199,Iran-Iraq War of 1980-1988,
202,Falklands War of 1982,
205,War over Lebanon of 1982,
207,War over the Aouzou Strip of 1986-1987,
208,Sino-Vietnamese Border War of 1987,
211,Gulf War of 1990-1991,
215,War of Bosnian Independence of 1992,
216,Azeri-Armenian War of 1993-1994,
217,Cenepa Valley War of 1995,
219,Badme Border War of 1998-2000,
221,War for Kosovo of 1999,
223,Kargil War of 1999,
225,Invasion of Afghanistan of 2001,
227,Invasion of Iraq of 2003,
