year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude
1816,3239,United States (Florida [ADM1]),Centroid of ADM1,-82.4849,28.6407
1817,3321,Bulgaria-Romania Border,Midpoint of shared (national) border,25.4793,43.6402
1818,1567,United States (Florida [ADM1]),Centroid of ADM1,-82.4849,28.6407
1821,142,"Galati, Romania","Galati, Romania",28.008,45.4353
1821,147,"Rieti, Italy","Rieti, Italy",12.8567,42.4045
1821,167,Italy (Piedmont [ADM1]),Centroid of ADM1,7.92682,45.061
1821,366,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924
1822,89,France-Spain Border,Midpoint of shared (national) border,0.514845,42.6924
1825,1735,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872
1826,64,"Galati, Romania","Galati, Romania",28.008,45.4353
1826,1622,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191
1826,1752,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191
1827,146,Ottoman Empire,Midpoint of coastline,27.06,38.39
1827,189,"Galati, Romania","Galati, Romania",28.008,45.4353
1828,367,Egypt,Centroid of ADM0,29.872,26.4943
1829,1579,"Petra, Greece","Petra, Greece",26.1753,39.3278
1830,370,France-Germany Border,Midpoint of shared (national) border,7.81941,49.0463
1831,25,Belgium-Netherlands Border,Midpoint of shared (national) border,5.7297,51.193
1831,137,"Porto, Portugal","Porto, Portugal",-8.6291,41.1579
1831,501,"Brussels, Belgium","Brussels, Belgium",4.35172,50.8503
1831,3138,"Al-Qurnah, Iraq","Al-Qurnah, Iraq",47.4245,31.0175
1832,368,Belgium-Germany Border,Midpoint of shared (national) border,6.22042,50.6376
1833,153,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482
1833,1753,"Cartagena, Colombia","Cartagena, Colombia",-75.4794,10.391
1834,1524,Colombia Territorial Waters (Caribbean Mainland),Centroid of territorial waters,-74.1421,11.4789
1835,301,Caribbean Sea,Caribbean Sea,-74.9676,14.5401
1836,1554,Argentina (Santa Cruz [ADM1]),Centroid of ADM1,-69.9414,-48.8127
1836,1555,United States (Texas [ADM1]),Centroid of ADM1,-99.358,31.4911
1836,1623,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238
1837,38,"Navy Island, Niagara","Navy Island, Niagara",-79.0108,43.0578
1838,160,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738
1838,1553,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043
1838,2013,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05
1839,15,Canada (New Brunswick [ADM1])-United States (Maine [ADM1]) Border,Midpoint of shared (subnational) border,-67.7833,46.4598
1839,1556,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043
1839,1740,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05
1840,1540,Douro River,Midpoint of river,-7.28269,41.1604
1842,2116,"Monterey, USA","Monterey, USA",-121.895,36.6002
1843,1507,Magellan Straits,Magellan Straits,-70.8288,-53.7302
1843,1552,United States (Texas [ADM1]),Centroid of ADM1,-99.358,31.4911
1845,123,Argentina,Midpoint of coastline,-63.6589,-42.2343
1845,1625,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994
1846,373,United States (Oregon [ADM1]),Midpoint of coastline,-124.076,44.7716
1846,1586,"Corrientes, Argentina","Corrientes, Argentina",-58.8306,-27.4692
1847,78,"Ferrara, Italy","Ferrara, Italy",11.6198,44.8381
1848,19,AUH-Venetian Border,Midpoint of shared (national) border,11.97,46.83
1848,198,Italy (Sicily [ADM1]),Centroid of ADM1,14.1467,37.5884
1848,374,"Rome, Italy","Rome, Italy",12.4964,41.9028
1848,375,Germany-Denmark Border,Midpoint of shared (national) border,8.98718,54.8973
1849,175,"Rome, Italy","Rome, Italy",12.4964,41.9028
1849,231,"Livorno, Italy","Livorno, Italy",43.5485,10.3106
1849,236,USR-Ottoman Border,Midpoint of shared (national) border,29.65,46.87
1849,1493,Venezuela,Midpoint of coastline,-63.8722,10.6422
1849,1627,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191
1850,71,"Piraeus, Greece","Piraeus, Greece",23.647,37.943
1850,154,AUH-Germany Border,Midpoint of shared (national) border,49.12,49.12
1850,1551,Mexico (Yucatan [ADM1]),Centroid of ADM1,-88.9256,20.7803
1850,1566,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1850,1587,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637
1850,2012,Parana River,Midpoint of river,-53.8819,-23.4585
1851,1528,"Montevideo, Uruguay","Montevideo, Uruguay",-56.1645,-34.9011
1852,377,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482
1852,1523,Colombia-Peru Border,Midpoint of shared (national) border,-72.2277,-2.49887
1852,1755,"Lobos Island, Peru","Lobos Island, Peru",-80.8599,-6.43756
1853,57,Ottoman-Russia Border,Midpoint of shared (national) border,28.93,47.88
1853,121,Dardanelles Strait,Dardanelles Strait,26.3013,40.0482
1853,126,AUH-Ottoman Border,Midpoint of shared (national) border,22.63,45.39
1853,3326,"Milan, Italy","Milan, Italy",9.18592,45.4654
1854,144,"Greytown, Nicaragua","Greytown, Nicaragua",-83.7345,10.9462
1854,304,"Sambir, Ukraine","Sambir, Ukraine",23.2066,49.5207
1854,1494,"Aves Island, Venezuela","Aves Island, Venezuela",-63.618,15.6684
1854,1565,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1854,2367,Cyprus,Centroid of ADM0,33.2218,35.0459
1855,1550,Mexico-United States (Texas [ADM1]) Border,Midpoint of shared (subnational) border,-101.37,29.6701
1855,1564,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136
1855,1588,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637
1856,8,"Tehran, Iran","Tehran, Iran",51.389,35.6892
1856,149,"Neuchatel, Switzerland","Neuchatel, Switzerland",6.92927,46.99
1856,380,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043
1856,1495,"Aves Island, Venezuela","Aves Island, Venezuela",-63.618,15.6684
1856,1522,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238
1856,1757,Colombia Territorial Waters (Caribbean Mainland),Centroid of territorial waters,-74.1421,11.4789
1856,2236,Rio Paraguay,"Asuncion, Paraguay",-57.5759,-25.2637
1857,1500,Bolivia-Chile Border,Midpoint of shared (national) border,-68.7092,-20.3063
1857,1521,Aguarico River,Aguarico River,-76.3582,-0.393123
1857,1743,Mozambique Channel,Mozambique Channel,41.2809,-18.6159
1858,207,Gulf of Mexico,Gulf of Mexico,-90.0659,25.3043
1858,1593,Gulf of Guayaquil,Gulf of Guayaquil,-80.5,-3
1858,1628,Venezuela,Midpoint of coastline,-63.8722,10.6422
1858,2322,Chincha Islands,Chincha Islands,-76.3912,-13.6303
1859,115,AUH-Venetian Border,Midpoint of shared (national) border,11.97,46.83
1859,1548,Rio Grande,Midpoint of river,-47.3801,-20.0754
1859,1580,Morocco (Northern [> ADM 1]),Centroid of > ADM1,-5.2002,32.9735
1859,1594,"Guayaquil, Ecuador","Guayaquil, Ecuador",-79.9224,-2.171
1859,1629,"Buenos Aires, Argentina","Buenos Aires, Argentina",-58.3816,-34.6037
1859,1630,"Patos Island, Venezuela","Patos Island, Venezuela",-61.8636,10.6401
1860,112,Papal States,Midpoint of Papal States,43.18,13.08
1860,113,Kingdom of Two Sicilies,Midpoint of Kingdom of Two Sicilies,40.34,15.94
1860,306,"Rome, Italy","Rome, Italy",12.4964,41.9028
1860,1549,"Veracruz, Mexico","Veracruz, Mexico",-96.1342,19.1738
