year,countmids,continent
1816,1,6
1817,1,5
1818,1,6
1819,0,0
1820,0,0
1821,4,5
1822,1,5
1823,0,0
1824,0,0
1825,1,1
1826,3,5
1827,2,5
1828,1,1
1829,1,5
1830,1,5
1831,4,5
1832,1,5
1833,2,7
1834,1,0
1835,1,0
1836,3,7
1837,1,6
1838,3,7
1839,3,6
1840,1,5
1841,0,0
1842,3,0
1843,2,6
1844,0,0
1845,2,7
1846,3,0
1847,1,5
1848,4,5
1849,5,5
1850,6,7
1851,1,7
1852,4,0
1853,4,5
1854,5,7
1855,3,7
1856,7,7
1857,3,7
1858,4,7
1859,6,7
1860,6,7
1861,4,7
1862,5,7
1863,5,7
1864,4,5
1865,4,7
1866,5,7
1867,0,0
1868,1,5
1869,2,7
1870,4,3
1871,4,5
1872,3,7
1873,4,7
1874,2,3
1875,4,7
1876,8,5
1877,3,5
1878,4,7
1879,2,3
1880,4,3
1881,3,1
1882,5,3
1883,4,5
1884,3,7
1885,6,3
1886,4,7
1887,4,5
1888,4,0
1889,2,7
1890,3,7
1891,5,7
1892,0,0
1893,5,7
1894,1,7
1895,6,7
1896,6,7
1897,5,3
1898,7,3
1899,4,3
1900,5,3
1901,3,7
1902,6,7
1903,5,7
1904,3,5
1905,5,5
1906,4,7
1907,6,7
1908,5,5
1909,7,3
1910,5,7
1911,16,7
1912,10,7
1913,8,7
1914,18,5
1915,8,5
1916,12,5
1917,9,7
1918,17,5
1919,17,5
1920,11,5
1921,12,5
1922,8,5
1923,7,5
1924,2,7
1925,6,5
1926,7,5
1927,7,3
1928,3,3
1929,4,7
1930,1,7
1931,6,3
1932,6,7
1933,5,3
1934,9,3
1935,5,3
1936,6,5
1937,11,3
1938,12,5
1939,30,5
1940,45,5
1941,24,0
1942,15,0
1943,17,0
1944,9,5
1945,13,0
1946,6,5
1947,3,3
1948,8,5
1949,18,3
1950,16,3
1951,14,3
1952,13,5
1953,19,5
1954,17,5
1955,23,5
1956,14,3
1957,13,3
1958,30,3
1959,28,3
1960,27,3
1961,20,3
1962,23,3
1963,25,3
1964,19,3
1965,23,3
1966,24,3
1967,25,3
1968,21,5
1969,28,3
1970,9,3
1971,21,1
1972,16,1
1973,19,1
1974,21,1
1975,23,3
1976,25,3
1977,32,1
1978,23,1
1979,23,3
1980,27,1
1981,23,3
1982,31,3
1983,33,3
1984,33,1
1985,35,1
1986,39,3
1987,61,1
1988,28,1
1989,21,1
1990,11,1
1991,19,3
1992,21,5
1993,33,5
1994,34,1
1995,35,5
1996,33,3
1997,36,3
1998,21,1
1999,33,3
2000,27,5
2001,29,3
2002,37,1
2003,35,3
2004,32,3
2005,39,3
2006,25,3
2007,19,3
2008,28,3
2009,21,3
2010,19,3
