year,countCouWars,SumTrade,CountTradeRela,numCountry
1823.0,2.0,0.0,0.0,0.0
1824.0,0.0,0.0,0.0,0.0
1825.0,0.0,0.0,0.0,0.0
1826.0,0.0,0.0,0.0,0.0
1827.0,0.0,0.0,0.0,0.0
1828.0,2.0,0.0,0.0,0.0
1829.0,2.0,0.0,0.0,0.0
1830.0,0.0,0.0,0.0,0.0
1831.0,0.0,0.0,0.0,0.0
1832.0,0.0,0.0,0.0,0.0
1833.0,0.0,0.0,0.0,0.0
1834.0,0.0,0.0,0.0,0.0
1835.0,0.0,0.0,0.0,0.0
1836.0,0.0,0.0,0.0,0.0
1837.0,0.0,0.0,0.0,0.0
1838.0,0.0,0.0,0.0,0.0
1839.0,0.0,0.0,0.0,0.0
1840.0,0.0,0.0,0.0,0.0
1841.0,0.0,0.0,0.0,0.0
1842.0,0.0,0.0,0.0,0.0
1843.0,0.0,0.0,0.0,0.0
1844.0,0.0,0.0,0.0,0.0
1845.0,0.0,0.0,0.0,0.0
1846.0,2.0,0.0,0.0,0.0
1847.0,2.0,0.0,0.0,0.0
1848.0,6.0,0.0,0.0,0.0
1849.0,7.0,0.0,0.0,0.0
1850.0,0.0,0.0,0.0,0.0
1851.0,2.0,0.0,0.0,0.0
1852.0,2.0,0.0,0.0,0.0
1853.0,2.0,0.0,0.0,0.0
1854.0,4.0,0.0,0.0,0.0
1855.0,5.0,0.0,0.0,0.0
1856.0,6.0,0.0,0.0,0.0
1857.0,2.0,0.0,0.0,0.0
1858.0,0.0,0.0,0.0,0.0
1859.0,5.0,0.0,0.0,0.0
1860.0,5.0,0.0,0.0,0.0
1861.0,2.0,0.0,0.0,0.0
1862.0,2.0,0.0,0.0,0.0
1863.0,4.0,0.0,0.0,0.0
1864.0,7.0,0.0,0.0,0.0
1865.0,7.0,0.0,0.0,0.0
1866.0,19.0,0.0,0.0,0.0
1867.0,5.0,0.0,0.0,0.0
1868.0,3.0,0.0,0.0,0.0
1869.0,3.0,0.0,0.0,0.0
1870.0,8.0,1494.0,70.0,28.0
1871.0,2.0,1790.0,72.0,28.0
1872.0,0.0,1875.0,64.0,28.0
1873.0,0.0,2573.0,119.0,31.0
1874.0,0.0,2285.0,131.0,32.0
1875.0,0.0,1964.0,112.0,30.0
1876.0,2.0,2292.0,128.0,32.0
1877.0,2.0,2111.0,128.0,32.0
1878.0,2.0,2440.0,138.0,33.0
1879.0,3.0,2599.0,141.0,33.0
1880.0,3.0,2263.0,141.0,33.0
1881.0,2.0,2618.0,134.0,32.0
1882.0,4.0,2548.0,137.0,32.0
1883.0,2.0,2662.0,140.0,33.0
1884.0,2.0,2512.0,138.0,34.0
1885.0,4.0,2178.0,137.0,34.0
1886.0,0.0,2281.0,148.0,34.0
1887.0,0.0,2302.0,171.0,35.0
1888.0,0.0,2375.0,175.0,36.0
1889.0,0.0,2596.0,170.0,35.0
1890.0,0.0,2515.0,166.0,35.0
1891.0,0.0,2743.0,184.0,38.0
1892.0,0.0,2727.0,177.0,37.0
1893.0,0.0,2601.0,182.0,37.0
1894.0,2.0,2455.0,138.0,34.0
1895.0,2.0,2317.0,163.0,34.0
1896.0,0.0,2749.0,182.0,37.0
1897.0,2.0,2936.0,193.0,38.0
1898.0,2.0,3343.0,199.0,38.0
1899.0,0.0,3149.0,173.0,39.0
1900.0,6.0,3350.0,186.0,36.0
1901.0,0.0,3257.0,187.0,34.0
1902.0,0.0,3506.0,184.0,35.0
1903.0,0.0,3789.0,191.0,35.0
1904.0,2.0,3758.0,187.0,36.0
1905.0,2.0,4585.0,243.0,39.0
1906.0,3.0,4991.0,215.0,38.0
1907.0,3.0,5446.0,229.0,37.0
1908.0,0.0,5259.0,217.0,38.0
1909.0,2.0,4881.0,223.0,39.0
1910.0,2.0,5918.0,253.0,42.0
1911.0,2.0,6048.0,262.0,43.0
1912.0,5.0,6748.0,326.0,42.0
1913.0,5.0,7183.0,351.0,41.0
1914.0,8.0,310.0,9.0,9.0
1915.0,10.0,368.0,8.0,8.0
1916.0,11.0,428.0,7.0,8.0
1917.0,14.0,580.0,7.0,8.0
1918.0,15.0,600.0,5.0,7.0
1919.0,13.0,6610.0,354.0,50.0
1920.0,10.0,16369.0,674.0,57.0
1921.0,3.0,10480.0,842.0,58.0
1922.0,2.0,9593.0,924.0,58.0
1923.0,0.0,9713.0,927.0,58.0
1924.0,0.0,12057.0,983.0,59.0
1925.0,0.0,13817.0,933.0,59.0
1926.0,0.0,11587.0,955.0,60.0
1927.0,0.0,13769.0,1045.0,62.0
1928.0,0.0,13888.0,1057.0,62.0
1929.0,2.0,14015.0,1075.0,62.0
1930.0,0.0,9565.0,935.0,61.0
1931.0,2.0,7821.0,1068.0,62.0
1932.0,4.0,5140.0,1085.0,62.0
1933.0,4.0,5241.0,1093.0,63.0
1934.0,4.0,7259.0,1149.0,64.0
1935.0,4.0,7668.0,1092.0,63.0
1936.0,2.0,8064.0,1146.0,65.0
1937.0,2.0,10383.0,1191.0,65.0
1938.0,3.0,9623.0,1166.0,63.0
1939.0,7.0,3488.0,730.0,60.0
1940.0,15.0,2476.0,475.0,57.0
1941.0,19.0,2039.0,314.0,52.0
1942.0,17.0,3127.0,178.0,48.0
1943.0,15.0,1673.0,123.0,31.0
1944.0,18.0,3173.0,212.0,52.0
1945.0,17.0,2168.0,351.0,58.0
1946.0,0.0,6721.0,442.0,60.0
1947.0,2.0,9389.0,449.0,62.0
1948.0,8.0,24480.0,2173.0,70.0
1949.0,3.0,22435.0,2241.0,72.0
1950.0,11.0,20609.0,2323.0,74.0
1951.0,17.0,28430.0,2434.0,75.0
1952.0,17.0,29913.0,2550.0,77.0
1953.0,17.0,27314.0,2654.0,78.0
1954.0,2.0,28875.0,2760.0,80.0
1955.0,2.0,42735.0,3010.0,83.0
1956.0,6.0,48366.0,3242.0,85.0
1957.0,0.0,54450.0,3376.0,87.0
1958.0,2.0,45878.0,3347.0,88.0
1959.0,0.0,47120.0,3320.0,87.0
1960.0,0.0,46582.0,4760.0,106.0
1961.0,0.0,49688.0,5158.0,110.0
1962.0,2.0,53314.0,5648.0,116.0
1963.0,0.0,59062.0,5835.0,117.0
1964.0,0.0,67544.0,6106.0,120.0
1965.0,7.0,72259.0,6366.0,124.0
1966.0,6.0,79854.0,6751.0,128.0
1967.0,13.0,84867.0,6880.0,129.0
1968.0,8.0,93482.0,7169.0,132.0
1969.0,12.0,104860.0,7146.0,132.0
1970.0,10.0,123129.0,7300.0,133.0
1971.0,10.0,133302.0,7734.0,138.0
1972.0,7.0,154010.0,7780.0,138.0
1973.0,12.0,216787.0,7924.0,139.0
1974.0,5.0,314165.0,8066.0,141.0
1975.0,6.0,343913.0,8563.0,148.0
1976.0,4.0,372537.0,8642.0,150.0
1977.0,4.0,422940.0,8735.0,151.0
1978.0,7.0,486914.0,8852.0,153.0
1979.0,6.0,615693.0,8900.0,155.0
1980.0,2.0,780526.0,8975.0,155.0
1981.0,2.0,797933.0,9495.0,158.0
1982.0,6.0,740797.0,9533.0,159.0
1983.0,2.0,712343.0,9602.0,160.0
1984.0,2.0,730452.0,9724.0,161.0
1985.0,2.0,730695.0,9783.0,161.0
1986.0,2.0,753985.0,9849.0,161.0
1987.0,9.0,875970.0,10061.0,161.0
1988.0,5.0,1031522.0,10093.0,161.0
1989.0,0.0,1132776.0,10145.0,161.0
1990.0,0.0,1602561.0,10227.0,163.0
1991.0,9.0,1678579.0,10386.0,160.0
1992.0,0.0,1778570.0,11506.0,174.0
1993.0,2.0,1702897.0,12255.0,180.0
1994.0,2.0,1945904.0,12582.0,181.0
1995.0,0.0,2370307.0,12734.0,181.0
1996.0,0.0,2488147.0,12939.0,181.0
1997.0,0.0,2591100.0,13048.0,179.0
1998.0,2.0,2502229.0,13191.0,179.0
1999.0,6.0,2628767.0,13549.0,182.0
2000.0,2.0,2920668.0,14386.0,183.0
2001.0,3.0,2804755.0,14386.0,183.0
2002.0,0.0,2877109.0,14386.0,183.0
2003.0,4.0,3355230.0,14386.0,183.0
