year,countCouWars,SumTrade,CountTradeRela,numCountry
1870,8,1494,70,28
1871,2,1790,72,28
1872,0,1875,64,28
1873,0,2573,119,31
1874,0,2285,131,32
1875,0,1964,112,30
1876,2,2292,128,32
1877,2,2111,128,32
1878,2,2440,138,33
1879,3,2599,141,33
1880,3,2263,141,33
1881,2,2618,134,32
1882,4,2548,137,32
1883,2,2662,140,33
1884,2,2512,138,34
1885,4,2178,137,34
1886,0,2281,148,34
1887,0,2302,171,35
1888,0,2375,175,36
1889,0,2596,170,35
1890,0,2515,166,35
1891,0,2743,184,38
1892,0,2727,177,37
1893,0,2601,182,37
1894,2,2455,138,34
1895,2,2317,163,34
1896,0,2749,182,37
1897,2,2936,193,38
1898,2,3343,199,38
1899,0,3149,173,39
1900,6,3350,186,36
1901,0,3257,187,34
1902,0,3506,184,35
1903,0,3789,191,35
1904,2,3758,187,36
1905,2,4585,243,39
1906,3,4991,215,38
1907,3,5446,229,37
1908,0,5259,217,38
1909,2,4881,223,39
1910,2,5918,253,42
1911,2,6048,262,43
1912,5,6748,326,42
1913,5,7183,351,41
1914,8,310,9,9
1915,10,368,8,8
1916,11,428,7,8
1917,14,580,7,8
1918,15,600,5,7
1919,13,6610,354,50
1920,10,16369,674,57
1921,3,10480,842,58
1922,2,9593,924,58
1923,0,9713,927,58
1924,0,12057,983,59
1925,0,13817,933,59
1926,0,11587,955,60
1927,0,13769,1045,62
1928,0,13888,1057,62
1929,2,14015,1075,62
1930,0,9565,935,61
1931,2,7821,1068,62
1932,4,5140,1085,62
1933,4,5241,1093,63
1934,4,7259,1149,64
1935,4,7668,1092,63
1936,2,8064,1146,65
1937,2,10383,1191,65
1938,3,9623,1166,63
1939,7,3488,730,60
1940,15,2476,475,57
1941,19,2039,314,52
1942,17,3127,178,48
1943,15,1673,123,31
1944,18,3173,212,52
1945,17,2168,351,58
1946,0,6721,442,60
1947,2,9389,449,62
1948,8,24480,2173,70
1949,3,22435,2241,72
1950,11,20609,2323,74
1951,17,28430,2434,75
1952,17,29913,2550,77
1953,17,27314,2654,78
1954,2,28875,2760,80
1955,2,42735,3010,83
1956,6,48366,3242,85
1957,0,54450,3376,87
1958,2,45878,3347,88
1959,0,47120,3320,87
1960,0,46582,4760,106
1961,0,49688,5158,110
1962,2,53314,5648,116
1963,0,59062,5835,117
1964,0,67544,6106,120
1965,7,72259,6366,124
1966,6,79854,6751,128
1967,13,84867,6880,129
1968,8,93482,7169,132
1969,12,104860,7146,132
1970,10,123129,7300,133
1971,10,133302,7734,138
1972,7,154010,7780,138
1973,12,216787,7924,139
1974,5,314165,8066,141
1975,6,343913,8563,148
1976,4,372537,8642,150
1977,4,422940,8735,151
1978,7,486914,8852,153
1979,6,615693,8900,155
1980,2,780526,8975,155
1981,2,797933,9495,158
1982,6,740797,9533,159
1983,2,712343,9602,160
1984,2,730452,9724,161
1985,2,730695,9783,161
1986,2,753985,9849,161
1987,9,875970,10061,161
1988,5,1031522,10093,161
1989,0,1132776,10145,161
1990,0,1602561,10227,163
1991,9,1678579,10386,160
1992,0,1778570,11506,174
1993,2,1702897,12255,180
1994,2,1945904,12582,181
1995,0,2370307,12734,181
1996,0,2488147,12939,181
1997,0,2591100,13048,179
1998,2,2502229,13191,179
1999,6,2628767,13549,182
2000,2,2920668,14386,183
2001,3,2804755,14386,183
2002,0,2877109,14386,183
2003,4,3355230,14386,183
