warnum,disno,statea,stateb,year,batdtha,batdthb,batdths,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
82,31,2,710,1900,21,2000,2021,37.0902,-95.7129,35.000074,104.999927,United States of America,USA,China,CHN
82,31,710,2,1900,2000,21,2021,35.000074,104.999927,37.0902,-95.7129,China,CHN,United States of America,USA
82,31,200,710,1900,34,2000,2034,54.7023545,-3.2765753,35.000074,104.999927,United Kingdom,UKG,China,CHN
82,31,710,200,1900,2000,34,2034,35.000074,104.999927,54.7023545,-3.2765753,China,CHN,United Kingdom,UKG
82,31,220,710,1900,24,2000,2024,46.603354,1.8883335,35.000074,104.999927,France,FRN,China,CHN
82,31,710,220,1900,2000,24,2024,35.000074,104.999927,46.603354,1.8883335,China,CHN,France,FRN
82,31,365,710,1900,302,2000,2302,64.6863136,97.7453061,35.000074,104.999927,Russia,RUS,China,CHN
82,31,710,365,1900,2000,302,2302,35.000074,104.999927,64.6863136,97.7453061,China,CHN,Russia,RUS
82,31,710,740,1900,2000,602,2602,35.000074,104.999927,36.5748441,139.2394179,China,CHN,Japan,JPN
82,31,740,710,1900,602,2000,2602,36.5748441,139.2394179,35.000074,104.999927,Japan,JPN,China,CHN
83,3250,365,710,1900,242,3578,3820,64.6863136,97.7453061,35.000074,104.999927,Russia,RUS,China,CHN
83,3250,710,365,1900,3578,242,3820,35.000074,104.999927,64.6863136,97.7453061,China,CHN,Russia,RUS
85,180,365,740,1904,71453,80378,151831,64.6863136,97.7453061,36.5748441,139.2394179,Russia,RUS,Japan,JPN
85,180,365,740,1905,71453,80378,151831,64.6863136,97.7453061,36.5748441,139.2394179,Russia,RUS,Japan,JPN
85,180,740,365,1904,80378,71453,151831,36.5748441,139.2394179,64.6863136,97.7453061,Japan,JPN,Russia,RUS
85,180,740,365,1905,80378,71453,151831,36.5748441,139.2394179,64.6863136,97.7453061,Japan,JPN,Russia,RUS
88,1205,90,91,1906,400,300,700,15.6356088,-89.8988087,15.2572432,-86.0755145,Guatemala,GUA,Honduras,HON
88,1205,91,90,1906,300,400,700,15.2572432,-86.0755145,15.6356088,-89.8988087,Honduras,HON,Guatemala,GUA
88,1205,90,92,1906,400,300,700,15.6356088,-89.8988087,13.8000382,-88.9140683,Guatemala,GUA,El Salvador,SAL
88,1205,92,90,1906,300,400,700,13.8000382,-88.9140683,15.6356088,-89.8988087,El Salvador,SAL,Guatemala,GUA
91,1202,91,93,1907,300,400,700,15.2572432,-86.0755145,12.3724928,-84.8700308,Honduras,HON,Nicaragua,NIC
91,1202,93,91,1907,400,300,700,12.3724928,-84.8700308,15.2572432,-86.0755145,Nicaragua,NIC,Honduras,HON
91,1202,92,93,1907,300,400,700,13.8000382,-88.9140683,12.3724928,-84.8700308,El Salvador,SAL,Nicaragua,NIC
91,1202,93,92,1907,400,300,700,12.3724928,-84.8700308,13.8000382,-88.9140683,Nicaragua,NIC,El Salvador,SAL
94,1086,230,600,1909,2000,8000,10000,39.3262345,-4.8380649,31.1728205,-7.3362482,Spain,SPN,Morocco,MOR
94,1086,230,600,1910,2000,8000,10000,39.3262345,-4.8380649,31.1728205,-7.3362482,Spain,SPN,Morocco,MOR
94,1086,600,230,1909,8000,2000,10000,31.1728205,-7.3362482,39.3262345,-4.8380649,Morocco,MOR,Spain,SPN
94,1086,600,230,1910,8000,2000,10000,31.1728205,-7.3362482,39.3262345,-4.8380649,Morocco,MOR,Spain,SPN
97,114,325,640,1911,6000,14000,20000,42.6384261,12.674297,38.9597594,34.9249653,Italy,ITA,Turkey,TUR
97,114,325,640,1912,6000,14000,20000,42.6384261,12.674297,38.9597594,34.9249653,Italy,ITA,Turkey,TUR
97,114,640,325,1911,14000,6000,20000,38.9597594,34.9249653,42.6384261,12.674297,Turkey,TUR,Italy,ITA
97,114,640,325,1912,14000,6000,20000,38.9597594,34.9249653,42.6384261,12.674297,Turkey,TUR,Italy,ITA
