warnum,disno,statea,stateb,year,batdtha,batdthb,batdths,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
1,89,220,230,1823,400,600,1000,46.603354,1.8883335,39.3262345,-4.8380649,France,FRN,Spain,SPN
1,89,230,220,1823,600,400,1000,39.3262345,-4.8380649,46.603354,1.8883335,Spain,SPN,France,FRN
4,189,365,640,1828,80000,50000,130000,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
4,189,365,640,1829,80000,50000,130000,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
4,189,640,365,1828,50000,80000,130000,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
4,189,640,365,1829,50000,80000,130000,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
7,1552,2,70,1846,13283,6000,19283,37.0902,-95.7129,19.4326009,-99.1333416,United States of America,USA,Mexico,MEX
7,1552,2,70,1847,13283,6000,19283,37.0902,-95.7129,19.4326009,-99.1333416,United States of America,USA,Mexico,MEX
7,1552,70,2,1846,6000,13283,19283,19.4326009,-99.1333416,37.0902,-95.7129,Mexico,MEX,United States of America,USA
7,1552,70,2,1847,6000,13283,19283,19.4326009,-99.1333416,37.0902,-95.7129,Mexico,MEX,United States of America,USA
10,19,300,325,1848,3927,3400,7327,46.35038755,19.13865633,42.6384261,12.674297,Austria-Hungary,AUH,Italy,ITA
10,19,300,325,1849,3927,3400,7327,46.35038755,19.13865633,42.6384261,12.674297,Austria-Hungary,AUH,Italy,ITA
10,19,325,300,1848,3400,3927,7327,42.6384261,12.674297,46.35038755,19.13865633,Italy,ITA,Austria-Hungary,AUH
10,19,325,300,1849,3400,3927,7327,42.6384261,12.674297,46.35038755,19.13865633,Italy,ITA,Austria-Hungary,AUH
10,19,300,332,1848,3927,100,4027,46.35038755,19.13865633,44.6458885,10.9255707,Austria-Hungary,AUH,Modena,MOD
10,19,332,300,1848,100,3927,4027,44.6458885,10.9255707,46.35038755,19.13865633,Modena,MOD,Austria-Hungary,AUH
10,19,300,337,1848,3927,100,4027,46.35038755,19.13865633,43.4586541,11.1389204,Austria-Hungary,AUH,Tuscany,TUS
10,19,337,300,1848,100,3927,4027,43.4586541,11.1389204,46.35038755,19.13865633,Tuscany,TUS,Austria-Hungary,AUH
13,375,255,390,1848,2500,3500,6000,51.0834196,10.4234469,55.670249,10.3333283,Germany,GMY,Denmark,DEN
13,375,255,390,1849,2500,3500,6000,51.0834196,10.4234469,55.670249,10.3333283,Germany,GMY,Denmark,DEN
