Unnamed: 0,warnum,disno,dyindex,statea,stateb,warstrtmnth,warstrtday,warstrtyr,warendmnth,warenday,warendyr,year,warolea,waroleb,wardyadrolea,wardyadroleb,outcomea,batdtha,batdthb,changes_1,changes_2,batdths,durindx,a_latitude,a_longitude,b_latitude,b_longitude,stateNameA,stateAbbA,stateNameB,stateAbbB
0,1,89,89.001,220,230,4,7,1823,9,30,1823,1823,1,3,1,3,1.0,400.0,600.0,,,1000.0,1,46.603354,1.8883335,39.3262345,-4.838064900000001,France,FRN,Spain,SPN
1,1,89,89.001,230,220,4,7,1823,9,30,1823,1823,3,1,3,1,3.0,600.0,400.0,,,1000.0,1,39.3262345,-4.838064900000001,46.603354,1.8883335,Spain,SPN,France,FRN
2,4,189,189.001,365,640,4,30,1828,8,19,1829,1828,1,3,1,3,1.0,80000.0,50000.0,,,130000.0,1,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
3,4,189,189.001,365,640,4,30,1828,8,19,1829,1829,1,3,1,3,1.0,80000.0,50000.0,,,130000.0,2,64.6863136,97.7453061,38.9597594,34.9249653,Russia,RUS,Turkey,TUR
4,4,189,189.001,640,365,4,30,1828,8,19,1829,1828,3,1,3,1,3.0,50000.0,80000.0,,,130000.0,2,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
5,4,189,189.001,640,365,4,30,1828,8,19,1829,1829,3,1,3,1,3.0,50000.0,80000.0,,,130000.0,1,38.9597594,34.9249653,64.6863136,97.7453061,Turkey,TUR,Russia,RUS
6,7,1552,1552.001,2,70,4,25,1846,9,14,1847,1846,1,3,1,3,1.0,13283.0,6000.0,,,19283.0,1,37.0902,-95.7129,19.4326009,-99.1333416,United States of America,USA,Mexico,MEX
7,7,1552,1552.001,2,70,4,25,1846,9,14,1847,1847,1,3,1,3,1.0,13283.0,6000.0,,,19283.0,2,37.0902,-95.7129,19.4326009,-99.1333416,United States of America,USA,Mexico,MEX
8,7,1552,1552.001,70,2,4,25,1846,9,14,1847,1846,3,1,3,1,3.0,6000.0,13283.0,,,19283.0,1,19.4326009,-99.1333416,37.0902,-95.7129,Mexico,MEX,United States of America,USA
9,7,1552,1552.001,70,2,4,25,1846,9,14,1847,1847,3,1,3,1,3.0,6000.0,13283.0,,,19283.0,2,19.4326009,-99.1333416,37.0902,-95.7129,Mexico,MEX,United States of America,USA
10,10,19,19.001,300,325,4,4,1848,3,23,1849,1848,1,3,3,1,1.0,3927.0,3400.0,7.0,,7327.0,2,46.35038755,19.13865633,42.6384261,12.674297,Austria-Hungary,AUH,Italy,ITA
11,10,19,19.001,300,325,4,4,1848,3,23,1849,1849,3,1,3,1,1.0,3927.0,3400.0,7.0,,7327.0,1,46.35038755,19.13865633,42.6384261,12.674297,Austria-Hungary,AUH,Italy,ITA
