year,countRelations
1870,666
1871,630
1872,528
1873,528
1874,528
1875,561
1876,595
1877,595
1878,666
1879,666
1880,666
1881,666
1882,666
1883,630
1884,630
1885,630
1886,630
1887,703
1888,703
1889,703
1890,703
1891,703
1892,703
1893,703
1894,741
1895,741
1896,741
1897,741
1898,780
1899,820
1900,861
1901,861
1902,903
1903,916
1904,916
1905,960
1906,917
1907,874
1908,916
1909,960
1910,960
1911,960
1912,959
1913,916
1914,960
1915,960
1916,916
1917,915
1918,1193
1919,1212
1920,1711
1921,1770
1922,1830
1923,1830
1924,1891
1925,1891
1926,1953
1927,2016
1928,2016
1929,2016
1930,2016
1931,2016
1932,2080
1933,2080
1934,2145
1935,2145
1936,2145
1937,2145
1938,2145
1939,2080
1940,1891
1941,1485
1942,1378
1943,1326
1944,1653
1945,2016
1946,2145
1947,2278
1948,2556
1949,2775
1950,2775
1951,2850
1952,2926
1953,3081
1954,3321
1955,3486
1956,3741
1957,3916
1958,4005
1959,3916
1960,5671
1961,6105
1962,6786
1963,7021
1964,7381
1965,7750
1966,8256
1967,8385
1968,8778
1969,8778
1970,8911
1971,9728
1972,9730
1973,9870
1974,10153
1975,11175
1976,11325
1977,11476
1978,11781
1979,12090
1980,12090
1981,12561
1982,12561
1983,12720
1984,12880
1985,12880
1986,12880
1987,12880
1988,12880
1989,12880
1990,13530
1991,15576
1992,16290
1993,17205
1994,17391
1995,17391
1996,17391
1997,17391
1998,17391
1999,17955
2000,18145
2001,18145
2002,18336
2003,18336
2004,18336
2005,18336
2006,18528
2007,18528
2008,18721
2009,18721
2010,18721
2011,18915
2012,18915
2013,18915
2014,18915
