year,countWars
1823,1
1828,1
1829,1
1846,1
1847,1
1848,2
1849,3
1851,1
1852,1
1853,1
1854,1
1855,1
1856,2
1857,1
1859,2
1860,3
1861,1
1862,1
1863,2
1864,3
1865,3
1866,4
1867,2
1868,1
1869,1
1870,2
1871,1
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,2
1883,1
1884,1
1885,2
1894,1
1895,1
1897,1
1898,1
1900,2
1904,1
1905,1
1906,1
1907,1
1909,1
1910,1
1911,1
1912,2
1913,2
1914,1
1915,1
1916,1
1917,1
1918,3
1919,6
1920,6
1921,2
1922,1
1929,1
1931,1
1932,2
1933,2
1934,2
1935,2
1936,1
1937,1
1938,2
1939,4
1940,3
1941,2
1942,2
1943,2
1944,2
1945,2
1947,1
1948,2
1949,1
1950,1
1951,1
1952,1
1953,1
1954,1
1955,1
1956,2
1958,1
1962,1
1965,2
1966,1
1967,3
1968,2
1969,4
1970,4
1971,4
1972,2
1973,3
1974,2
1975,2
1976,1
1977,2
1978,3
1979,3
1980,1
1981,1
1982,3
1983,1
1984,1
1985,1
1986,1
1987,4
1988,2
1991,1
1993,1
1994,1
1998,1
1999,3
2000,1
2001,1
2003,1
